CLIENTNUM,Attrition_Flag,Customer_Age,Gender,Dependent_count,Education_Level,Marital_Status,Income_Category,Card_Category,Months_on_book,Credit_Limit,Total_Trans_Amt,Total_Ct_Chng_Q4_Q1,Avg_Utilization_Ratio
827111283,Existing Customer,45,M,3,Graduate,Single,$80K - $120K,Blue,41,32426,1109,0.474,0.018
773146383,Existing Customer,50,F,1,College,Single,$40K - $60K,Silver,43,17304,1756,1.2,0.145
778493808,Existing Customer,49,M,3,High School,Married,$60K - $80K,Blue,37,3906,1756,1,0
712661433,Existing Customer,49,M,4,Uneducated,Single,$80K - $120K,Blue,30,34516,1444,1.333,0
789172683,Existing Customer,56,M,2,Doctorate,Married,$60K - $80K,Blue,45,2283,1741,0.588,0.626
738406533,Existing Customer,59,M,1,Doctorate,Married,$40K - $60K,Blue,52,2548,1719,1.7,0.793
799723908,Existing Customer,46,M,3,High School,Married,$80K - $120K,Blue,40,19458,1217,0.8,0.074
771490833,Existing Customer,52,M,1,College,Single,$80K - $120K,Blue,40,4745,1140,0.6,0.259
779471883,Attrited Customer,54,F,1,Graduate,Married,Less than $40K,Blue,40,1438.3,705,0.9,0.562
711525033,Existing Customer,66,F,0,High School,Married,Less than $40K,Blue,54,3171,1946,1.923,0.687
714374133,Attrited Customer,56,M,2,Graduate,Married,$120K +,Blue,36,15769,602,0.364,0
717891558,Existing Customer,49,F,4,Graduate,Unknown,Less than $40K,Blue,36,3298,1052,0.6,0.667
716632758,Existing Customer,49,F,3,Graduate,Single,Less than $40K,Blue,36,2802,1295,0.6,0.843
768563658,Existing Customer,56,M,2,Uneducated,Married,$40K - $60K,Blue,50,4458,1424,1.417,0.422
714091983,Existing Customer,42,M,2,High School,Single,$60K - $80K,Blue,34,3336,1168,1.25,0.525
712030833,Attrited Customer,48,M,2,Graduate,Married,$60K - $80K,Silver,35,34516,691,0.5,0
711481533,Existing Customer,39,M,1,High School,Divorced,$60K - $80K,Blue,33,5926,1316,1.154,0.211
710082708,Existing Customer,44,M,4,Post-Graduate,Single,$120K +,Blue,32,23957,1276,0.733,0.088
708155733,Existing Customer,53,M,2,High School,Single,$120K +,Blue,44,14734,1289,0.917,0.111
788979258,Existing Customer,51,M,4,Uneducated,Single,$80K - $120K,Silver,38,34516,1293,0.6,0.044
807986133,Existing Customer,57,M,2,College,Married,$60K - $80K,Blue,52,6584,1353,0.667,0.276
788730933,Existing Customer,44,F,2,Uneducated,Single,Less than $40K,Blue,20,2084,1132,0.556,0.704
711314058,Existing Customer,49,M,2,Graduate,Married,$60K - $80K,Blue,32,1687,1670,2.4,0.656
717975333,Existing Customer,50,M,2,Doctorate,Married,$80K - $120K,Blue,38,25300,837,2,0.053
715971108,Existing Customer,51,M,4,Graduate,Single,$120K +,Blue,42,34516,1550,1.05,0.051
720096558,Existing Customer,55,F,2,Graduate,Married,Less than $40K,Blue,42,2216,1540,0.286,0.467
719580033,Existing Customer,54,M,1,Graduate,Unknown,$60K - $80K,Blue,43,2910,1256,0.4,0.698
820582308,Existing Customer,42,M,5,Uneducated,Married,$80K - $120K,Blue,37,22913,1394,0.522,0.067
789973308,Existing Customer,44,M,1,College,Single,$60K - $80K,Blue,35,24312,1341,1.182,0.079
712876233,Existing Customer,53,M,2,Graduate,Single,$80K - $120K,Blue,36,5272,1289,0.435,0.287
804595158,Existing Customer,44,F,4,Graduate,Single,Less than $40K,Blue,36,7000,1112,1.875,0.36
714826758,Existing Customer,37,F,3,Uneducated,Single,Less than $40K,Blue,29,7038,2339,0.966,0.256
779058108,Existing Customer,49,M,3,Graduate,Divorced,$60K - $80K,Blue,30,2536,1468,0.353,0.719
710790258,Existing Customer,47,M,2,Graduate,Married,$80K - $120K,Blue,38,28904,1334,0.4,0.066
715623483,Existing Customer,47,M,3,Graduate,Married,$60K - $80K,Blue,37,8567,1457,1.412,0.198
794543958,Existing Customer,53,M,1,Graduate,Divorced,$80K - $120K,Blue,35,34516,1590,2,0.035
716396358,Existing Customer,52,M,2,Graduate,Married,$60K - $80K,Blue,47,3085,1531,0.667,0.619
715398033,Existing Customer,53,M,2,High School,Single,$120K +,Blue,35,19040,1212,0.722,0.108
711743883,Existing Customer,43,F,3,Uneducated,Single,Less than $40K,Blue,35,4026,1237,0.6,0
719720058,Existing Customer,44,M,3,High School,Single,$60K - $80K,Blue,31,12756,1413,1.8,0.066
717539808,Existing Customer,51,F,2,High School,Single,Less than $40K,Blue,36,9930,1276,1.333,0
714070758,Existing Customer,49,M,4,High School,Single,$80K - $120K,Blue,38,31302,1564,2.182,0.062
714107958,Existing Customer,45,M,1,Graduate,Single,$40K - $60K,Blue,36,6576,1465,0.619,0
789140283,Existing Customer,53,M,0,Graduate,Single,$80K - $120K,Blue,42,2664,1286,0.933,0.765
719712633,Existing Customer,64,M,1,Graduate,Married,Less than $40K,Blue,52,1709,1673,0.882,0.524
772629333,Existing Customer,45,M,3,Graduate,Married,$40K - $60K,Blue,35,3454,1313,0.304,0.347
720336708,Existing Customer,53,M,3,Doctorate,Married,$40K - $60K,Blue,35,3789,1609,0.68,0.45
802013583,Existing Customer,56,M,3,College,Married,$120K +,Blue,50,9689,1158,0.727,0.232
779155158,Existing Customer,53,M,3,Graduate,Married,$120K +,Blue,34,2940,1259,0.5,0.43
721091583,Existing Customer,44,F,2,Graduate,Single,Less than $40K,Blue,32,3031,1298,1.5,0.62
713572683,Existing Customer,44,M,3,High School,Unknown,$60K - $80K,Blue,25,1862,1226,0.789,0
716657058,Existing Customer,43,F,4,Post-Graduate,Married,Less than $40K,Blue,33,8358,1566,0.542,0.111
779509983,Existing Customer,53,M,2,Post-Graduate,Single,$120K +,Blue,36,34516,1022,1.1,0.027
717929133,Existing Customer,44,M,1,Uneducated,Married,$60K - $80K,Blue,36,14450,1235,0.667,0.169
710916408,Existing Customer,57,M,4,Graduate,Married,$60K - $80K,Blue,39,8466,1342,0.391,0.223
799825758,Existing Customer,42,M,4,High School,Divorced,$60K - $80K,Blue,36,3263,1251,0.346,0.513
718619883,Existing Customer,54,F,0,Uneducated,Married,Less than $40K,Blue,36,1494,1305,3,0.473
711844758,Existing Customer,48,M,3,Graduate,Single,$80K - $120K,Blue,35,13551,1388,1.056,0.095
714798783,Existing Customer,49,M,1,Graduate,Single,$80K - $120K,Blue,36,18886,1235,1.571,0.047
826762908,Existing Customer,52,M,3,High School,Unknown,$80K - $120K,Blue,48,11976,2089,1.118,0.106
771894558,Existing Customer,50,M,3,High School,Single,$80K - $120K,Blue,39,9964,1626,0.786,0.156
721074183,Existing Customer,49,M,1,Doctorate,Married,$60K - $80K,Blue,36,24159,1111,1,0.05
715259583,Existing Customer,53,F,2,High School,Married,Less than $40K,Blue,44,5362,1553,1,0.355
718414008,Existing Customer,50,M,2,Graduate,Single,$120K +,Blue,36,34516,1064,0.625,0.03
719666283,Existing Customer,55,F,1,Doctorate,Married,Less than $40K,Blue,36,3174,1243,0.611,0.615
714877233,Existing Customer,53,M,1,High School,Married,$80K - $120K,Blue,47,12262,1659,1.533,0.15
785387883,Existing Customer,47,F,3,High School,Single,$40K - $60K,Blue,41,3788,1594,0.382,0.407
771075258,Existing Customer,55,M,2,College,Single,$120K +,Silver,42,34516,1268,0.355,0.044
711318033,Existing Customer,47,M,3,Graduate,Single,$60K - $80K,Blue,36,2926,1304,0.846,0
783554958,Existing Customer,58,M,4,Graduate,Single,$120K +,Blue,52,32090,1368,0.364,0
720201033,Attrited Customer,53,M,2,Graduate,Married,$80K - $120K,Blue,41,11669,720,0.353,0.191
718039683,Existing Customer,52,M,2,High School,Single,$40K - $60K,Blue,45,13532,1521,1.417,0.096
710806083,Existing Customer,50,F,1,Uneducated,Unknown,Less than $40K,Silver,36,11888,1137,0.765,0.176
714752208,Existing Customer,42,F,1,Graduate,Married,Less than $40K,Blue,36,2393,978,0.778,0.83
714490308,Existing Customer,57,M,4,Graduate,Married,$80K - $120K,Blue,46,19270,1565,1.545,0.086
713356833,Existing Customer,52,M,1,Graduate,Married,$80K - $120K,Blue,43,3710,1578,0.7,0.678
711402333,Existing Customer,47,M,2,Doctorate,Single,Less than $40K,Blue,37,3235,1493,1,0.246
708296883,Existing Customer,44,F,3,Graduate,Single,$40K - $60K,Blue,38,11749,1178,0.929,0.067
719154483,Existing Customer,53,M,2,High School,Divorced,$60K - $80K,Blue,36,7753,991,0.733,0.271
717721458,Existing Customer,45,M,4,College,Divorced,$60K - $80K,Blue,40,10408,2560,1.211,0.114
715674483,Existing Customer,39,F,2,Post-Graduate,Single,Less than $40K,Blue,27,6205,1204,0.727,0.406
789322833,Attrited Customer,48,F,5,High School,Married,Less than $40K,Blue,38,8025,673,0.8,0
709919283,Existing Customer,54,M,4,Graduate,Married,$80K - $120K,Blue,34,14926,1576,1.5,0.169
718744008,Existing Customer,59,F,1,Graduate,Single,Less than $40K,Blue,36,6335,1217,0.667,0.178
767712558,Attrited Customer,59,M,1,College,Single,$60K - $80K,Blue,53,14979,530,1,0
712950783,Attrited Customer,48,F,4,Uneducated,Married,Less than $40K,Blue,38,2732,739,0.455,0
716104983,Existing Customer,41,F,2,Graduate,Single,Less than $40K,Blue,32,2250,1617,2.875,0.941
818839983,Existing Customer,55,M,2,Graduate,Married,$120K +,Blue,50,10916,1592,1,0.141
712350858,Existing Customer,41,M,2,High School,Married,$80K - $120K,Blue,24,9366,1303,0.625,0.118
711009708,Existing Customer,40,M,3,High School,Single,$80K - $120K,Blue,28,21617,1351,0.467,0
712215258,Existing Customer,50,F,1,Graduate,Single,$40K - $60K,Silver,31,18386,1298,0.571,0
773827008,Existing Customer,47,M,4,Uneducated,Single,$60K - $80K,Blue,41,2405,1087,1.231,0.64
795232683,Existing Customer,53,F,1,College,Married,Less than $40K,Blue,47,2154,1439,1.364,0.432
713539833,Existing Customer,48,F,4,High School,Single,$40K - $60K,Blue,38,8135,1716,0.812,0
712454058,Existing Customer,49,M,1,Doctorate,Married,$120K +,Blue,38,9364,1099,0.8,0.066
718803333,Existing Customer,43,F,4,Graduate,Divorced,Less than $40K,Blue,34,3195,1285,0.706,0.612
720253908,Existing Customer,56,M,0,High School,Married,$80K - $120K,Blue,43,2852,1651,1,0.359
713187033,Existing Customer,46,M,1,Uneducated,Married,$60K - $80K,Blue,36,20459,1767,2.167,0.101
772426383,Existing Customer,50,F,4,Uneducated,Married,$40K - $60K,Blue,40,3065,1130,1.333,0.512
710975883,Existing Customer,51,F,3,Uneducated,Married,Less than $40K,Blue,43,2185,1645,0.429,0.806
714264408,Existing Customer,47,F,3,Uneducated,Married,Less than $40K,Blue,36,1611,1413,0.706,0.463
715827858,Existing Customer,58,F,4,Uneducated,Married,Less than $40K,Blue,47,2822,1218,2.286,0.77
713741358,Attrited Customer,46,M,5,Graduate,Single,$80K - $120K,Blue,33,32975,597,0.7,0.076
709531908,Existing Customer,53,M,3,High School,Married,$60K - $80K,Blue,47,1438.3,2184,0.828,0
714141108,Existing Customer,52,F,1,High School,Married,Less than $40K,Blue,45,6703,1388,0.75,0.133
712608783,Existing Customer,50,M,2,High School,Married,$80K - $120K,Silver,45,34516,1504,0.789,0.037
820353558,Existing Customer,41,F,3,High School,Married,$40K - $60K,Blue,36,9797,1503,0.478,0.146
714964758,Existing Customer,45,F,5,Graduate,Divorced,$40K - $60K,Blue,36,10400,1105,0.867,0.171
716264358,Existing Customer,53,M,3,Uneducated,Married,$80K - $120K,Blue,42,26792,2398,0.88,0.069
717296808,Existing Customer,67,F,1,Graduate,Married,Less than $40K,Blue,56,3006,1661,1,0.837
712977183,Existing Customer,57,F,2,Uneducated,Single,$40K - $60K,Silver,36,19482,1421,1.444,0.055
710829108,Existing Customer,59,F,1,Uneducated,Married,$40K - $60K,Blue,36,3356,999,0.556,0.294
779562633,Existing Customer,45,M,2,Uneducated,Married,$40K - $60K,Blue,34,5771,1387,0.8,0.39
715315833,Existing Customer,51,M,3,Graduate,Married,$80K - $120K,Blue,36,11106,1243,1,0.19
815500983,Existing Customer,59,F,1,Uneducated,Married,Less than $40K,Blue,54,2890,1860,1,0.692
719360583,Existing Customer,53,M,1,Graduate,Married,$60K - $80K,Blue,45,3380,1502,1.273,0.503
709701558,Existing Customer,47,M,3,Graduate,Married,$60K - $80K,Blue,36,21331,1460,1.083,0.059
779862408,Existing Customer,49,M,3,Post-Graduate,Single,$80K - $120K,Blue,33,6278,1087,0.941,0.074
812627208,Existing Customer,60,F,0,College,Single,Less than $40K,Blue,55,1438.3,1226,0.571,0.513
711033408,Existing Customer,50,F,2,High School,Married,Less than $40K,Blue,36,9355,1230,0.867,0.174
780376683,Existing Customer,57,M,1,Graduate,Married,$80K - $120K,Blue,47,14612,1827,3,0.135
717912483,Existing Customer,43,M,4,Graduate,Unknown,$80K - $120K,Blue,27,27259,1376,0.591,0
714454758,Existing Customer,57,F,3,Graduate,Married,Less than $40K,Blue,47,6347,1771,0.762,0.251
780466533,Existing Customer,54,M,3,Doctorate,Married,$120K +,Blue,41,21592,1873,0.529,0.078
715735233,Existing Customer,51,F,5,Post-Graduate,Married,Less than $40K,Blue,44,3449,1679,0.556,0.463
720476733,Existing Customer,47,F,3,High School,Married,Less than $40K,Blue,34,6028,1002,0.571,0.133
715872333,Existing Customer,41,M,0,High School,Unknown,$120K +,Blue,36,18214,1344,1.1,0.11
712375758,Existing Customer,53,M,3,Uneducated,Married,$80K - $120K,Blue,43,16393,1461,0.75,0.087
708868233,Attrited Customer,68,M,0,High School,Married,Less than $40K,Blue,52,1438.3,760,0.615,0.626
718030083,Existing Customer,59,M,1,College,Married,$60K - $80K,Blue,36,7871,1428,1.444,0.214
771698658,Existing Customer,44,M,5,Graduate,Married,$60K - $80K,Blue,32,11376,1302,0.8,0.176
748326258,Existing Customer,48,M,3,College,Married,$80K - $120K,Blue,41,12302,1483,0.519,0.133
770817783,Existing Customer,47,M,4,Graduate,Married,$60K - $80K,Silver,33,34516,1060,0.5,0.049
779353083,Existing Customer,47,M,2,Graduate,Married,$60K - $80K,Silver,32,34516,1330,0.684,0.043
711441333,Existing Customer,43,F,1,High School,Divorced,Less than $40K,Silver,35,10514,1229,0.8,0.15
719808558,Attrited Customer,55,F,2,Graduate,Married,Less than $40K,Blue,43,1438.3,886,0.421,0
711551958,Attrited Customer,59,M,2,Post-Graduate,Married,$60K - $80K,Blue,46,1438.3,844,0.5,0
809164083,Existing Customer,63,M,1,Graduate,Married,$40K - $60K,Blue,56,2619,1450,0.947,0.679
820596183,Existing Customer,58,M,2,College,Married,$120K +,Blue,53,24407,2311,0.714,0.098
715999608,Existing Customer,53,F,2,High School,Married,Less than $40K,Blue,36,2377,1378,1.167,0.694
805543158,Existing Customer,52,M,3,Graduate,Married,$120K +,Blue,47,11086,1523,1.105,0.199
709752183,Existing Customer,48,M,3,High School,Single,$60K - $80K,Blue,36,11432,1374,0.762,0.22
716479233,Existing Customer,43,M,4,High School,Married,$40K - $60K,Blue,36,13258,1080,1.333,0.13
713837058,Existing Customer,48,M,2,College,Single,Less than $40K,Blue,36,2571,1234,0.714,0.76
718876683,Existing Customer,43,F,4,Graduate,Single,Less than $40K,Blue,31,5781,1600,0.455,0.202
794843883,Existing Customer,41,M,3,High School,Married,$80K - $120K,Blue,35,34516,1353,0.737,0.035
803043933,Existing Customer,44,F,3,Uneducated,Divorced,Less than $40K,Silver,38,11127,1546,1.273,0.165
714606558,Existing Customer,60,F,1,Uneducated,Married,Less than $40K,Blue,36,1913,1448,1,0.665
778425408,Existing Customer,44,M,4,Graduate,Single,$80K - $120K,Blue,24,3839,1271,0.714,0.598
714171108,Existing Customer,48,F,3,Graduate,Divorced,$40K - $60K,Blue,39,2115,1223,0.538,0.539
719662458,Existing Customer,44,F,2,Graduate,Divorced,Less than $40K,Blue,27,1438.3,1117,1.071,0.472
713137233,Existing Customer,41,M,2,High School,Single,$80K - $120K,Blue,28,27756,994,0.846,0.064
769425858,Existing Customer,45,M,3,College,Single,$60K - $80K,Blue,32,1438.3,1468,0.625,0
711297483,Existing Customer,47,F,2,Uneducated,Divorced,Less than $40K,Silver,34,13878,1658,0.357,0.16
788900883,Existing Customer,51,F,2,Graduate,Married,Less than $40K,Blue,36,3106,1368,0.407,0.42
758348808,Existing Customer,51,M,2,Graduate,Married,$120K +,Blue,44,34516,1218,0.8,0.048
772336458,Attrited Customer,60,F,1,Uneducated,Married,$40K - $60K,Blue,50,1438.3,702,0.714,0.713
717906783,Existing Customer,41,M,5,Graduate,Single,$120K +,Blue,29,5207,1310,1,0.336
719437908,Existing Customer,44,M,3,Post-Graduate,Divorced,$80K - $120K,Blue,36,17965,1767,0.923,0.092
769433508,Existing Customer,43,M,1,College,Single,$60K - $80K,Blue,37,2733,933,0.923,0.666
790096533,Existing Customer,55,M,2,College,Married,$60K - $80K,Blue,48,8863,1512,1.455,0.147
720997383,Attrited Customer,52,M,1,Uneducated,Married,$80K - $120K,Blue,36,1857,829,0.7,0.987
787541883,Existing Customer,44,M,3,Graduate,Unknown,$80K - $120K,Blue,33,34516,1120,0.35,0
709930758,Existing Customer,41,M,2,Uneducated,Married,$40K - $60K,Blue,30,11107,1506,0.941,0.11
710741208,Existing Customer,39,M,2,High School,Single,$80K - $120K,Blue,36,5269,2094,0.667,0.28
821797008,Attrited Customer,49,M,5,College,Married,$40K - $60K,Blue,45,1438.3,815,0.615,0
708874533,Attrited Customer,45,F,2,College,Married,Less than $40K,Blue,36,3387,510,0.6,0
715341858,Existing Customer,54,M,2,Graduate,Married,$80K - $120K,Blue,46,1982,1377,0.69,0.65
793636308,Existing Customer,49,M,3,Uneducated,Single,$80K - $120K,Blue,43,4645,1193,0.65,0.355
712125258,Attrited Customer,46,M,4,High School,Married,$120K +,Blue,30,2442,701,0.727,0
709703433,Existing Customer,47,M,3,Graduate,Married,$60K - $80K,Blue,38,21304,1770,0.923,0.072
721022433,Existing Customer,44,M,2,Doctorate,Single,$60K - $80K,Blue,36,7577,1409,0.167,0.327
710103558,Existing Customer,50,M,3,Post-Graduate,Single,$120K +,Blue,31,3234,1354,0.647,0.459
715952883,Existing Customer,73,M,0,High School,Married,$40K - $60K,Blue,36,4469,1765,1.615,0.252
772390908,Attrited Customer,59,M,0,High School,Single,$40K - $60K,Blue,48,3616,687,0.545,0.291
787348608,Existing Customer,70,M,0,High School,Married,Less than $40K,Blue,56,3252,1227,0.875,0.46
709485033,Existing Customer,55,F,2,High School,Married,Less than $40K,Blue,36,2358,1737,1.6,0.489
799471833,Existing Customer,45,M,1,Uneducated,Single,$120K +,Blue,39,3133,1435,0.462,0.482
714187533,Existing Customer,45,F,2,Uneducated,Single,$40K - $60K,Blue,35,3540,1321,0.75,0.24
779656908,Existing Customer,40,M,1,Graduate,Married,$40K - $60K,Blue,23,6990,1479,0.611,0.197
788950158,Existing Customer,36,M,2,College,Unknown,$80K - $120K,Blue,22,34516,1283,1.294,0.048
778867533,Attrited Customer,59,F,0,Post-Graduate,Married,$40K - $60K,Blue,40,1438.3,689,0.353,0
789483333,Existing Customer,41,M,2,Uneducated,Married,$40K - $60K,Blue,32,5214,1258,1.3,0.152
809855808,Existing Customer,51,F,2,Graduate,Married,Less than $40K,Blue,46,5207,1339,0.538,0.317
771809733,Attrited Customer,64,F,0,High School,Married,$40K - $60K,Blue,53,3353,960,0.385,0
719942883,Existing Customer,54,M,5,Graduate,Married,$60K - $80K,Blue,38,2290,1119,3.5,0.626
717806133,Existing Customer,40,M,2,Uneducated,Divorced,$60K - $80K,Blue,29,23603,1382,1.067,0
720615708,Existing Customer,57,M,0,Uneducated,Married,$40K - $60K,Blue,45,2601,1232,0.684,0
714511758,Existing Customer,45,M,4,Graduate,Single,$80K - $120K,Blue,40,6363,1542,1.286,0.162
715050408,Existing Customer,41,M,3,High School,Single,$80K - $120K,Blue,36,8029,1094,0.524,0.196
721132233,Existing Customer,42,F,4,Uneducated,Married,Less than $40K,Blue,31,2410,1217,1.143,0.734
719211558,Attrited Customer,45,M,2,Graduate,Single,$60K - $80K,Blue,36,3401,744,1,0
712069008,Existing Customer,42,F,4,Uneducated,Married,Less than $40K,Blue,23,2260,1614,0.737,0.446
715996983,Existing Customer,47,M,4,Uneducated,Divorced,$80K - $120K,Blue,30,17682,1747,1.214,0.14
773466258,Existing Customer,48,F,4,High School,Married,$40K - $60K,Blue,42,4206,1144,1,0.262
798983508,Existing Customer,43,M,1,Graduate,Single,$80K - $120K,Silver,37,34516,1575,2.4,0.042
719117433,Existing Customer,41,M,4,High School,Unknown,$80K - $120K,Blue,36,23018,1463,1.667,0.094
716451183,Existing Customer,54,F,1,Uneducated,Married,$40K - $60K,Blue,44,5556,1706,1.625,0.308
715085733,Existing Customer,61,M,0,Graduate,Married,$40K - $60K,Blue,52,2939,2434,1.538,0.68
788977833,Existing Customer,61,M,0,Uneducated,Married,$80K - $120K,Blue,48,5362,1876,0.783,0.238
720272958,Attrited Customer,48,M,2,High School,Married,$120K +,Blue,36,27126,1000,0.786,0
708421833,Existing Customer,45,F,4,Graduate,Single,Less than $40K,Blue,36,3342,1139,0.765,0.753
715120608,Existing Customer,44,M,3,Graduate,Single,$60K - $80K,Blue,37,14546,1273,0.588,0.117
779078733,Existing Customer,55,M,2,Doctorate,Married,$60K - $80K,Blue,36,16427,1579,1.118,0.102
771742533,Existing Customer,48,M,2,Graduate,Unknown,$40K - $60K,Blue,36,13068,937,0.556,0.131
720250158,Existing Customer,45,M,2,College,Single,$60K - $80K,Blue,33,23218,1749,2.083,0.078
716458983,Existing Customer,60,M,0,High School,Married,$40K - $60K,Blue,36,3281,1424,1.417,0.255
713747733,Existing Customer,55,M,2,High School,Married,$40K - $60K,Blue,47,3096,2011,0.783,0.716
712270158,Existing Customer,62,F,0,High School,Married,$40K - $60K,Blue,52,2052,1208,0.632,0.609
789562383,Existing Customer,38,F,1,High School,Unknown,Less than $40K,Blue,30,1438.3,1259,1,0.405
754897008,Existing Customer,46,M,3,High School,Single,$40K - $60K,Blue,39,9432,1319,0.368,0.15
819700533,Existing Customer,50,M,0,High School,Single,$120K +,Silver,45,14938,949,2,0.154
712890408,Existing Customer,45,M,2,Uneducated,Married,$60K - $80K,Blue,36,2221,1338,1.308,0.605
720248208,Existing Customer,47,M,3,Post-Graduate,Divorced,$60K - $80K,Blue,37,5731,1554,0.444,0.275
779749908,Existing Customer,48,M,4,College,Married,$60K - $80K,Gold,33,34516,1350,0.455,0.06
717401883,Existing Customer,35,M,3,Uneducated,Married,$60K - $80K,Blue,22,6985,1694,0.76,0.162
721509558,Existing Customer,51,M,2,Graduate,Married,$120K +,Blue,42,24221,1678,0.538,0.07
714576183,Existing Customer,47,M,4,Graduate,Single,$80K - $120K,Blue,36,21637,1222,0.438,0.094
721425558,Existing Customer,52,M,2,Graduate,Single,$120K +,Blue,37,14543,1536,0.423,0
711109908,Existing Customer,43,F,4,Uneducated,Married,Less than $40K,Blue,36,9684,1400,2.1,0.256
715203108,Existing Customer,63,M,2,High School,Married,$40K - $60K,Blue,36,5007,1050,1.154,0.186
710027508,Existing Customer,61,M,0,Graduate,Married,$60K - $80K,Blue,54,1616,1389,1.2,0.648
787464408,Existing Customer,53,M,2,Uneducated,Single,$60K - $80K,Blue,40,19116,1184,0.611,0
783542133,Existing Customer,53,F,3,Graduate,Married,Less than $40K,Blue,47,2759,2093,1,0.806
708330858,Attrited Customer,57,M,3,Graduate,Married,$120K +,Blue,38,8249,678,0.833,0.167
712701333,Existing Customer,53,M,3,High School,Married,$60K - $80K,Blue,43,5264,1219,0.5,0.412
773373108,Existing Customer,49,F,4,High School,Married,Less than $40K,Blue,43,2826,1025,0.647,0.732
715812258,Existing Customer,45,M,2,High School,Married,$80K - $120K,Blue,34,12518,1165,0.833,0.123
778286433,Existing Customer,67,M,0,Graduate,Married,$40K - $60K,Blue,56,5876,2133,0.719,0.221
789270033,Existing Customer,48,M,3,Graduate,Single,$80K - $120K,Silver,37,34516,1122,0.182,0
711569433,Existing Customer,51,F,2,Uneducated,Divorced,Less than $40K,Blue,38,9648,1083,1.75,0.2
720214833,Existing Customer,52,M,2,High School,Single,$80K - $120K,Silver,40,34516,1234,1.875,0.063
788194458,Existing Customer,34,M,3,High School,Married,$60K - $80K,Blue,26,3265,1843,0.944,0.771
720779733,Existing Customer,56,M,1,Uneducated,Married,$120K +,Blue,36,6041,1747,0.581,0.224
717424458,Existing Customer,44,F,2,Post-Graduate,Married,Less than $40K,Blue,36,2293,1166,1.444,0.795
708820308,Existing Customer,47,M,3,Post-Graduate,Unknown,$80K - $120K,Blue,36,13399,1326,0.824,0.187
